,Retweets,Favorites,Text,Id,Jpg url,Image num,Prediction 1,Reliability 1,Breed 1,Prediction 2,Reliability 2,Breed 2,Prediction 3,Reliability 3,Breed 3,Name,Doggo,Floofer,Pupper,Puppo,Rating
0,47.0,128.0,This is a western brown Mitsubishi terrier. Upset about leaf. Actually 2 dogs here. 7/10 would walk the shit out of https://t.co/r7mOb2m0UI,6.660292850026209e+17,https://pbs.twimg.com/media/CT42GRgUYAA5iDo.jpg,1.0,Redbone,0.506826,True,Miniature_Pinscher,0.07419169999999999,True,Rhodesian_Ridgeback,0.07201,True,Dog,False,False,False,False,7/10
1,140.0,297.0,This is a purebred Piers Morgan. Loves to Netflix and chill. Always looks like he forgot to unplug the iron. 6/10 https://t.co/DWnyCjf2mx,6.660442263298007e+17,https://pbs.twimg.com/media/CT5Dr8HUEAA-lEu.jpg,1.0,Rhodesian_Ridgeback,0.408143,True,Redbone,0.360687,True,Miniature_Pinscher,0.222752,True,Dog,False,False,False,False,6/10
2,843.0,1210.0,This is an odd dog. Hard on the outside but loving on the inside. Petting still fun. Doesn't play catch well. 2/10 https://t.co/v5A4vzSDdc,6.660518538268508e+17,https://pbs.twimg.com/media/CT5KoJ1WoAAJash.jpg,1.0,Box_Turtle,0.933012,False,Mud_Turtle,0.045885400000000014,False,Terrapin,0.017885299999999996,False,Dog,False,False,False,False,2/10
3,141.0,294.0,My oh my. This is a rare blond Canadian terrier on wheels. Only $8.98. Rather docile. 9/10 very rare https://t.co/yWBqbrzy8O,6.66057090499244e+17,https://pbs.twimg.com/media/CT5PY90WoAAQGLo.jpg,1.0,Shopping_Cart,0.962465,False,Shopping_Basket,0.0145938,False,Golden_Retriever,0.00795896,True,Dog,False,False,False,False,9/10
4,57.0,111.0,Here is the Rand Paul of retrievers folks! He's probably good at poker. Can drink beer (lol rad). 8/10 good dog https://t.co/pYAJkAe76p,6.660586005241569e+17,https://pbs.twimg.com/media/CT5Qw94XAAA_2dP.jpg,1.0,Miniature_Poodle,0.201493,True,Komondor,0.192305,True,Soft-Coated_Wheaten_Terrier,0.08208610000000001,True,Dog,False,False,False,False,8/10
5,60.0,145.0,Here we have a northern speckled Rhododendron. Much sass. Gives 0 fucks. Good tongue. 9/10 would caress sensually https://t.co/ZoL8kq2XFx,6.660711932215091e+17,https://pbs.twimg.com/media/CT5cN_3WEAAlOoZ.jpg,1.0,Gordon_Setter,0.503672,True,Yorkshire_Terrier,0.174201,True,Pekinese,0.109454,True,Dog,False,False,False,False,9/10
6,163.0,319.0,Let's hope this flight isn't Malaysian (lol). What a dog! Almost completely camouflaged. 10/10 I trust this pilot https://t.co/Yk6GHE9tOY,6.66073100786774e+17,https://pbs.twimg.com/media/CT5d9DZXAAALcwe.jpg,1.0,Walker_Hound,0.260857,True,English_Foxhound,0.17538199999999998,True,Ibizan_Hound,0.0974705,True,Dog,False,False,False,False,10/10
7,67.0,153.0,Can stand on stump for what seems like a while. Built that birdhouse? Impressive. Made friends with a squirrel. 8/10 https://t.co/Ri4nMTLq5C,6.66099513787052e+17,https://pbs.twimg.com/media/CT51-JJUEAA6hV8.jpg,1.0,Lhasa,0.58233,True,Shih-Tzu,0.166192,True,Dandie_Dinmont,0.0896883,True,Dog,False,False,False,False,8/10
8,12.0,80.0,Oh my. Here you are seeing an Adobe Setter giving birth to twins!!! The world is an amazing place. 11/10 https://t.co/11LvqN4WLq,6.661021559091446e+17,https://pbs.twimg.com/media/CT54YGiWUAEZnoK.jpg,1.0,English_Setter,0.298617,True,Newfoundland,0.149842,True,Borzoi,0.133649,True,Dog,False,False,False,False,11/10
9,6522.0,14217.0,Not familiar with this breed. No tail (weird). Only 2 legs. Doesn't bark. Surprisingly quick. Shits eggs. 1/10 https://t.co/Asgdc6kuLX,6.661041332886651e+17,https://pbs.twimg.com/media/CT56LSZWoAAlJj2.jpg,1.0,Hen,0.965932,False,Cock,0.0339194,False,Partridge,5.20658e-05,False,Dog,False,False,False,False,1/10
